youtubeid,videoid,caption,fps,tstart,tend,totalframes
-amozZ1cvug,-amozZ1cvug_clip_0_001,a man standing in front of a fence in a field. The man is wearing a black shirt and blue jeans.,20.0,26.7,36.7,6794.0
-amozZ1cvug,-amozZ1cvug_clip_2_000,a man sitting in the driver's seat of a car with a shattered windshield. The man is seen smoking a cigarette while sitting in the car.,20.0,161.5,171.5,6794.0
-amozZ1cvug,-amozZ1cvug_clip_3_001,a man standing in front of a building with a woman lying on the ground. The scene is captured in different frames with varying camera angles and positions.,20.0,212.9,222.9,6794.0
-amozZ1cvug,-amozZ1cvug_clip_3_002,"a man standing in front of a window, and a woman sitting on the ground.",20.0,222.9,232.9,6794.0
-amozZ1cvug,-amozZ1cvug_clip_4_002,a man sitting on a bench outside a gas station while the sun sets in the background. The man is wearing a black shirt and blue jeans.,20.0,261.8,271.8,6794.0
-tmTS-ODIME,-tmTS-ODIME_clip_0_000,"a view of a canyon with a river flowing through it, and the sky is clear and blue.",29.97002997002997,8.875533333333333,15.548866666666669,22734.0
-tmTS-ODIME,-tmTS-ODIME_clip_0_001,"a scenic view of a canyon with a river flowing through it. The sky is clear and blue, and there are mountains in the background.",29.97002997002997,15.548866666666669,22.2222,22734.0
-tmTS-ODIME,-tmTS-ODIME_clip_11_000,a view of a canyon with a tree in the foreground and a plane flying in the sky. The camera then pans to show a rocky cliff and a snowy mountain.,29.97002997002997,545.2113333333333,551.8846666666667,22734.0
-tmTS-ODIME,-tmTS-ODIME_clip_12_002,"a scenic view of a canyon with a river flowing through it. The camera captures the canyon from different angles, showcasing the beauty of the landscape.",29.97002997002997,591.0571333333334,597.7304666666666,22734.0
-tmTS-ODIME,-tmTS-ODIME_clip_12_005,a view of a canyon with a river flowing through it. The camera then pans to show a mountain range in the background.,29.97002997002997,611.0771333333333,617.7504666666666,22734.0
-tmTS-ODIME,-tmTS-ODIME_clip_15_000,a view of a desert landscape with a large rock formation and a tower. The camera then pans to show a large white object in the sky.,29.97002997002997,667.9339333333334,674.6072666666666,22734.0
-tmTS-ODIME,-tmTS-ODIME_clip_15_002,a person walking through a desert landscape with mountains in the background. The person is also seen walking through a forest with trees and a dirt road.,29.97002997002997,681.2806,687.9539333333333,22734.0
-tmTS-ODIME,-tmTS-ODIME_clip_15_003,a person walking through a desert landscape with a tower in the distance. The camera captures the scene from different angles.,29.97002997002997,687.9539333333333,694.6272666666666,22734.0
-tmTS-ODIME,-tmTS-ODIME_clip_15_005,"a scenic view of a mountainous landscape with a clock tower in the distance. The camera pans around the area, showing the different angles of the tower and the surrounding environment.",29.97002997002997,701.3006,707.9739333333333,22734.0
-tmTS-ODIME,-tmTS-ODIME_clip_16_000,"a tower on a hill overlooking a canyon, and the camera pans around the tower and the canyon.",29.97002997002997,713.1791333333333,719.8524666666667,22734.0
-tmTS-ODIME,-tmTS-ODIME_clip_16_001,a view of a canyon with a tower in the foreground. The camera then pans to show the canyon and the tower from different angles.,29.97002997002997,719.8524666666667,726.5258,22734.0
-tmTS-ODIME,-tmTS-ODIME_clip_16_004,"a view of a canyon from a tower, with a large rock formation visible in the distance. The sky is clear and blue.",29.97002997002997,739.8724666666667,746.5458,22734.0
-tmTS-ODIME,-tmTS-ODIME_clip_1_001,"a scenic view of a canyon with a road winding through it. The sky is clear and blue, and there are trees and rocks on the side of the road.",29.97002997002997,45.8458,52.519133333333336,22734.0
-tmTS-ODIME,-tmTS-ODIME_clip_1_003,a scenic view of a canyon with a road and trees. The sky is clear and blue.,29.97002997002997,59.19246666666667,65.86580000000001,22734.0
-tmTS-ODIME,-tmTS-ODIME_clip_1_004,a scenic view of a road in the mountains with a blue sky in the background. The road is winding and there are trees on the side of the road.,29.97002997002997,65.86580000000001,72.53913333333334,22734.0
-tmTS-ODIME,-tmTS-ODIME_clip_1_008,"a view of a canyon with a large mountain in the background. The sky is clear and blue, and there are several trees and rocks in the foreground.",29.97002997002997,92.55913333333334,99.23246666666668,22734.0
-tmTS-ODIME,-tmTS-ODIME_clip_3_000,a scenic view of a canyon with snow-covered mountains and a river flowing through it. The video also shows a snowy hill with trees and a snow-covered mountain in the background.,29.97002997002997,183.51666666666668,190.19,22734.0
-tmTS-ODIME,-tmTS-ODIME_clip_3_001,a view of a canyon with snow on the ground and a tree in the foreground. The camera then pans to show a large mountain range in the distance.,29.97002997002997,190.19,196.86333333333332,22734.0
-tmTS-ODIME,-tmTS-ODIME_clip_3_004,a view of a canyon with snow on the ground and mountains in the background. The camera then pans to show a large mountain range with a snowy hill and a large rock formation.,29.97002997002997,210.21,216.88333333333333,22734.0
-tmTS-ODIME,-tmTS-ODIME_clip_4_005,a scenic view of a canyon with a sun in the background. The camera captures the canyon from different angles.,29.97002997002997,252.91933333333333,259.5926666666667,22734.0
-tmTS-ODIME,-tmTS-ODIME_clip_5_000,a road winding through a forest with trees on both sides. The sun is shining brightly in the sky.,29.97002997002997,299.1655333333333,305.83886666666666,22734.0
-tmTS-ODIME,-tmTS-ODIME_clip_5_002,"a road in the desert with mountains in the background, and the sun is shining brightly. The road is surrounded by trees and bushes, and there is a large white sign on the side of the road.",29.97002997002997,312.5122,319.1855333333333,22734.0
-tmTS-ODIME,-tmTS-ODIME_clip_5_003,"a road with trees on both sides, and the sun is shining brightly in the sky.",29.97002997002997,319.1855333333333,325.8588666666667,22734.0
-tmTS-ODIME,-tmTS-ODIME_clip_6_001,"a road in the mountains with trees on both sides, and the sun is shining brightly in the sky.",29.97002997002997,340.9406,347.61393333333336,22734.0
-tmTS-ODIME,-tmTS-ODIME_clip_6_005,a person walking towards the camera while the camera pans around the Grand Canyon. The video also shows a person standing on a rock and a person walking on a trail.,29.97002997002997,367.63393333333335,374.3072666666667,22734.0
-tmTS-ODIME,-tmTS-ODIME_clip_7_000,a scenic view of a canyon with mountains and trees in the foreground. The camera captures the view from different angles.,29.97002997002997,410.6102,417.28353333333337,22734.0
-tmTS-ODIME,-tmTS-ODIME_clip_8_002,a view of a canyon with a bridge and a sun in the sky. The sun is shining brightly in the sky.,29.97002997002997,471.2708,477.94413333333335,22734.0
-tmTS-ODIME,-tmTS-ODIME_clip_8_003,"a scenic view of a canyon with a sun in the sky, and a metal fence is present in the foreground.",29.97002997002997,477.94413333333335,484.6174666666667,22734.0
-tmTS-ODIME,-tmTS-ODIME_clip_9_000,a person standing on a rocky cliff overlooking a canyon. The person is wearing a black shirt and is standing still.,29.97002997002997,490.8904,497.56373333333335,22734.0
0XrH2WO1Mzs,0XrH2WO1Mzs_clip_0_000,a black and white panda bear in a forest. The panda is seen eating a piece of wood.,20.0,111.2,121.2,3330.0
0k8PsUQyCpM,0k8PsUQyCpM_clip_0_000,a scenic view of the ocean with waves crashing against the shore. There is also a staircase leading up to a building on the beach.,20.0,6.1,16.1,2854.0
0k8PsUQyCpM,0k8PsUQyCpM_clip_2_000,a busy city street with people walking and cars driving. The street is surrounded by tall buildings and there are many people walking around.,20.0,65.4,75.4,2854.0
0pXLBg1U-cQ,0pXLBg1U-cQ_clip_0_000,a group of people walking on a sidewalk in front of a colorful building. The scene is captured from different angles and distances.,20.0,6.3,16.3,3864.0
